0,1,2,3,4,5,6,7,8,9
138,112,138,137,138,137,138,137,118,0
165,158,158,164,126,137,164,163,110,0
126,114,117,125,114,125,116,115,107,0
182,148,180,158,131,121,147,143,143,0
159,124,103,136,159,144,109,145,105,0
176,167,160,127,176,175,175,142,172,0
151,109,149,149,100,150,136,150,110,0
120,120,118,111,118,118,119,118,111,0
99,98,98,98,97,98,99,99,99,0
195,156,123,146,130,118,167,193,180,0
178,100,137,150,146,134,102,177,178,0
168,121,167,101,151,151,135,167,154,0
161,106,136,160,136,161,160,129,137,0
197,107,159,145,185,172,134,118,103,0
171,170,167,113,169,144,160,113,129,0
173,171,159,163,171,170,169,130,102,0
173,173,122,166,171,142,108,126,114,0
186,175,102,119,129,170,109,178,133,0
182,179,181,112,102,181,127,100,133,0
195,145,148,180,105,189,185,110,163,0
69,69,68,68,68,69,68,69,67,0
122,121,120,104,120,36,121,121,115,0
112,111,0,49,0,0,111,108,111,0
125,41,0,0,0,0,0,0,104,0
