date,kw
30.01.2022 12:30:00,280
30.01.2022 12:45:00,270
30.01.2022 13:00:00,288
30.01.2022 13:15:00,307
30.01.2022 13:30:00,290
30.01.2022 13:45:00,280
30.01.2022 14:00:00,284
30.01.2022 14:15:00,315
30.01.2022 14:30:00,292
30.01.2022 14:45:00,313
30.01.2022 15:00:00,300
30.01.2022 15:15:00,288
30.01.2022 15:30:00,270
30.01.2022 15:45:00,295
30.01.2022 16:00:00,325
30.01.2022 16:15:00,306
30.01.2022 16:30:00,290
30.01.2022 16:45:00,330
30.01.2022 17:00:00,290
30.01.2022 17:15:00,290
30.01.2022 17:30:00,287
30.01.2022 17:45:00,280
30.01.2022 18:00:00,280
30.01.2022 18:15:00,215
