date,kw
30.01.2022 12:30:00,178
30.01.2022 12:45:00,180
30.01.2022 13:00:00,192
30.01.2022 13:15:00,182
30.01.2022 13:30:00,177
30.01.2022 13:45:00,165
30.01.2022 14:00:00,178
30.01.2022 14:15:00,199
30.01.2022 14:30:00,180
30.01.2022 14:45:00,200
30.01.2022 15:00:00,189
30.01.2022 15:15:00,171
30.01.2022 15:30:00,169
30.01.2022 15:45:00,199
30.01.2022 16:00:00,199
30.01.2022 16:15:00,199
30.01.2022 16:30:00,191
30.01.2022 16:45:00,200
30.01.2022 17:00:00,190
30.01.2022 17:15:00,182
30.01.2022 17:30:00,178
30.01.2022 17:45:00,174
30.01.2022 18:00:00,173
30.01.2022 18:15:00,134
