0,1,2,3,4,5,6,7,8,9
214,214,214,211,213,213,212,213,214,0
304,304,237,303,231,303,295,208,213,0
317,316,316,253,262,316,317,287,313,0
231,231,222,207,221,229,229,230,227,0
330,259,256,317,329,330,305,330,328,0
321,244,240,320,261,296,216,219,320,0
200,198,200,199,199,200,198,200,200,0
362,234,355,318,359,362,313,208,225,0
244,215,242,243,243,242,242,244,242,0
208,206,208,208,207,207,208,208,208,0
355,354,343,211,338,353,279,341,353,0
226,224,225,224,225,226,225,224,224,0
328,327,216,269,270,328,327,288,236,0
326,324,326,308,325,231,233,326,229,0
252,252,251,252,250,250,252,227,250,0
359,358,256,237,257,330,353,357,358,0
378,374,287,212,289,349,282,203,288,0
301,277,300,299,288,239,299,301,226,0
327,326,262,325,261,326,327,267,327,0
395,309,293,272,325,285,231,334,290,0
376,235,205,288,275,302,215,286,279,0
367,221,367,297,357,365,277,226,333,0
207,206,206,205,205,205,207,205,206,0
226,226,225,225,226,225,225,226,226,0
