0,1,2,3,4,5,6,7,8,9
100,99,98,100,98,98,98,98,98,0
116,104,112,114,114,114,114,109,113,0
193,135,143,167,181,187,187,164,184,0
151,149,105,150,133,150,118,104,111,0
159,158,143,120,129,159,159,159,159,0
107,107,106,106,105,105,107,106,106,0
166,147,166,102,112,164,164,145,114,0
183,121,144,181,102,128,115,172,105,0
155,153,149,154,153,120,125,136,154,0
140,139,115,104,140,138,140,106,140,0
178,120,110,177,176,124,120,173,146,0
129,128,128,127,127,129,128,129,127,0
123,107,121,122,123,123,121,123,122,0
185,177,144,184,121,164,144,128,131,0
147,146,145,145,146,119,145,123,146,0
170,151,169,138,163,168,168,131,102,0
140,139,113,138,138,140,139,140,138,0
162,160,100,110,160,144,132,156,162,0
107,105,107,105,105,107,100,105,107,0
173,126,145,170,172,172,147,123,144,0
146,146,145,144,144,60,146,145,113,0
164,148,146,0,3,0,146,103,105,0
147,33,116,0,0,0,0,137,56,0
100,0,38,0,0,0,0,6,0,0
