0,1,2,3,4,5,6,7,8,9
399,327,347,362,358,389,376,228,257,0
224,222,223,222,222,222,212,222,223,0
329,329,329,328,329,241,295,328,249,0
303,240,301,293,210,264,302,303,302,0
306,301,306,217,215,306,304,306,305,0
299,298,297,273,290,299,298,289,299,0
284,284,284,278,284,238,225,282,221,0
322,322,321,322,307,206,256,314,320,0
365,215,364,307,279,270,364,363,246,0
251,250,242,249,249,215,251,250,249,0
319,319,318,317,298,319,317,247,319,0
275,271,273,275,261,274,273,275,273,0
259,259,251,225,258,258,257,257,259,0
348,213,341,346,208,281,346,219,345,0
369,227,352,287,369,309,270,368,367,0
381,225,263,207,260,315,338,339,372,0
317,315,315,286,249,317,317,235,242,0
351,307,350,227,349,314,233,273,336,0
231,231,230,230,230,229,230,229,229,0
241,240,241,219,239,241,239,240,240,0
249,202,248,247,245,247,249,247,205,0
344,314,344,240,253,226,225,205,236,0
355,241,288,342,254,298,234,341,242,0
257,256,0,255,255,256,246,255,243,0
