0,1,2,3,4,5,6,7,8,9
275,274,275,274,238,275,245,265,275,0
328,328,328,326,270,260,277,269,326,0
223,223,221,223,221,222,222,223,223,0
282,280,222,280,262,218,281,281,281,0
361,359,262,310,271,361,314,230,351,0
273,201,272,273,271,272,271,264,272,0
224,223,224,220,223,222,222,222,222,0
265,263,263,233,263,263,264,255,227,0
260,258,259,258,231,258,213,258,258,0
394,206,306,351,295,370,296,279,339,0
310,263,308,308,309,228,308,308,247,0
329,329,254,327,230,329,327,209,220,0
222,222,220,222,222,222,222,220,221,0
395,286,204,340,297,373,240,312,334,0
281,279,219,279,280,281,230,279,281,0
273,214,210,271,260,271,272,271,226,0
215,215,215,215,213,213,214,213,205,0
344,342,339,218,287,286,320,343,315,0
348,207,284,292,279,343,222,252,262,0
303,302,301,223,303,233,254,252,264,0
236,234,234,234,228,232,236,235,234,0
226,212,225,226,225,225,214,225,225,0
352,254,206,308,276,350,352,352,285,0
298,296,271,275,247,5,297,241,297,0
