0,1,2,3,4,5,6,7,8,9
258,256,256,258,257,258,256,258,258,0
338,238,251,238,238,208,338,336,268,0
277,275,277,273,277,277,276,275,241,0
375,262,374,374,336,368,339,237,268,0
329,329,329,254,324,260,297,270,242,0
203,202,201,201,203,203,202,203,201,0
244,243,244,243,244,243,243,212,242,0
388,330,386,386,269,318,220,280,351,0
260,235,260,258,203,260,260,260,259,0
354,320,240,354,288,221,348,326,208,0
243,213,221,242,221,241,241,219,243,0
223,222,222,204,221,222,223,221,214,0
246,245,246,246,245,246,245,245,245,0
336,287,336,206,259,206,286,236,334,0
256,254,255,255,253,256,255,203,214,0
383,337,322,243,317,383,312,226,307,0
254,253,225,252,254,254,252,228,253,0
375,320,214,341,291,375,248,374,302,0
282,282,280,282,223,240,281,281,281,0
332,331,330,318,273,328,330,298,285,0
368,257,366,300,298,291,293,233,291,0
349,220,322,247,308,311,341,223,294,0
315,252,313,224,314,216,314,294,311,0
260,210,115,214,258,258,222,258,259,0
