date,kw
30.01.2022 12:30:00,220
30.01.2022 12:45:00,220
30.01.2022 13:00:00,232
30.01.2022 13:15:00,225
30.01.2022 13:30:00,222
30.01.2022 13:45:00,200
30.01.2022 14:00:00,228
30.01.2022 14:15:00,242
30.01.2022 14:30:00,224
30.01.2022 14:45:00,244
30.01.2022 15:00:00,230
30.01.2022 15:15:00,210
30.01.2022 15:30:00,210
30.01.2022 15:45:00,243
30.01.2022 16:00:00,235
30.01.2022 16:15:00,242
30.01.2022 16:30:00,232
30.01.2022 16:45:00,232
30.01.2022 17:00:00,232
30.01.2022 17:15:00,228
30.01.2022 17:30:00,218
30.01.2022 17:45:00,200
30.01.2022 18:00:00,196
30.01.2022 18:15:00,152
