0,1,2,3,4,5,6,7,8,9
177,158,153,177,177,134,175,175,136,0
100,98,100,99,99,100,100,100,98,0
102,100,99,102,100,102,102,100,101,0
114,114,101,113,113,101,105,113,108,0
164,164,138,119,116,162,164,135,147,0
137,137,105,135,137,130,119,136,136,0
129,127,124,128,129,121,129,105,127,0
184,183,184,168,142,182,126,184,139,0
111,111,110,111,110,110,109,111,111,0
165,153,165,148,102,163,163,123,152,0
141,123,140,119,112,140,141,141,141,0
121,119,120,120,120,121,109,121,120,0
127,127,127,126,121,109,126,125,125,0
143,142,142,141,101,110,143,109,142,0
191,156,132,147,141,176,160,172,158,0
164,128,143,131,130,157,108,154,163,0
128,110,107,128,127,108,114,128,128,0
183,181,104,158,121,119,145,141,132,0
132,132,130,131,131,117,130,131,102,0
117,117,116,115,116,116,117,117,115,0
169,133,101,138,169,140,128,113,112,0
144,0,142,0,142,143,0,142,118,0
152,0,53,0,0,72,0,38,0,0
74,0,0,0,0,0,0,0,0,0
