0,1,2,3,4,5,6,7,8,9
350,225,328,349,348,226,348,349,223,0
315,207,274,228,314,215,314,315,314,0
328,327,246,267,326,300,287,326,285,0
250,235,232,249,249,249,248,250,212,0
357,282,211,341,357,233,357,323,316,0
266,266,266,265,264,245,264,265,265,0
357,356,275,355,355,322,283,283,314,0
251,204,251,223,249,238,249,249,250,0
376,215,375,286,375,216,352,279,313,0
356,356,354,292,313,230,214,318,243,0
387,298,299,236,343,215,212,369,325,0
316,300,303,219,316,221,315,304,288,0
208,206,208,207,206,206,206,208,206,0
297,297,296,297,296,244,229,295,295,0
383,256,252,284,309,370,234,383,342,0
332,331,313,245,299,330,323,331,266,0
353,298,222,279,351,352,229,278,264,0
238,236,236,237,238,238,238,236,236,0
352,325,205,216,305,270,266,243,351,0
205,203,203,205,205,205,204,203,205,0
219,217,219,218,219,218,218,219,217,0
352,352,318,230,350,320,282,305,296,0
364,363,362,278,145,309,317,362,336,0
223,222,221,213,0,221,221,210,211,0
