date,kw
30.01.2022 12:30:00,240
30.01.2022 12:45:00,230
30.01.2022 13:00:00,269
30.01.2022 13:15:00,261
30.01.2022 13:30:00,255
30.01.2022 13:45:00,245
30.01.2022 14:00:00,245
30.01.2022 14:15:00,280
30.01.2022 14:30:00,260
30.01.2022 14:45:00,284
30.01.2022 15:00:00,270
30.01.2022 15:15:00,240
30.01.2022 15:30:00,245
30.01.2022 15:45:00,260
30.01.2022 16:00:00,270
30.01.2022 16:15:00,275
30.01.2022 16:30:00,268
30.01.2022 16:45:00,280
30.01.2022 17:00:00,280
30.01.2022 17:15:00,276
30.01.2022 17:30:00,259
30.01.2022 17:45:00,249
30.01.2022 18:00:00,249
30.01.2022 18:15:00,195
