0,1,2,3,4,5,6,7,8,9
99,98,97,97,97,97,97,99,99,0
155,128,155,154,153,136,134,153,153,0
181,125,106,128,143,115,120,167,140,0
196,121,138,146,152,163,148,167,134,0
110,110,110,108,108,108,107,109,108,0
117,115,109,117,117,116,115,117,115,0
185,152,148,183,183,103,128,118,125,0
103,103,102,103,103,103,103,103,103,0
153,112,151,151,138,151,152,152,151,0
198,193,148,163,158,109,103,110,139,0
159,159,158,157,149,99,134,157,157,0
182,129,165,181,131,172,112,139,180,0
155,125,106,153,118,155,135,153,115,0
153,130,151,151,129,152,148,145,124,0
178,169,138,140,167,119,106,177,102,0
100,100,98,99,98,98,99,98,100,0
161,102,136,102,161,107,103,161,160,0
185,162,159,154,111,149,184,158,175,0
110,109,108,109,101,110,108,109,109,0
142,108,114,137,142,141,140,141,140,0
162,161,106,115,122,113,141,108,162,0
112,112,110,56,110,111,111,101,69,0
141,140,139,0,0,140,123,29,0,0
57,11,0,0,0,56,55,0,0,0
