0,1,2,3,4,5,6,7,8,9
209,208,207,208,209,208,209,209,208,0
215,214,214,213,213,214,214,213,214,0
312,310,241,310,311,312,312,305,267,0
353,252,201,228,284,226,290,353,221,0
226,224,225,224,224,226,225,225,225,0
227,212,225,211,226,227,227,226,227,0
275,273,206,265,234,274,273,275,264,0
362,267,360,253,207,312,356,236,270,0
355,354,354,279,225,353,353,303,253,0
294,224,292,294,232,293,294,290,273,0
344,344,343,262,343,321,321,343,241,0
274,273,208,272,272,274,274,272,274,0
248,248,246,248,248,210,206,246,247,0
227,226,227,227,225,225,226,227,209,0
339,205,338,218,337,332,338,221,305,0
228,226,227,228,228,226,227,226,226,0
331,324,272,331,231,223,331,280,246,0
333,214,256,241,327,331,332,208,333,0
367,346,365,210,333,231,365,232,291,0
338,294,337,208,337,337,336,258,337,0
269,267,267,268,233,267,267,268,204,0
250,248,250,248,250,249,250,249,237,0
261,256,261,261,261,254,55,245,259,0
226,224,226,216,216,225,0,225,224,0
