0,1,2,3,4,5,6,7,8,9
164,144,118,109,144,130,164,162,99,0
168,168,136,166,134,140,138,106,123,0
193,114,154,171,174,139,179,140,111,0
161,134,111,133,161,161,161,160,150,0
100,99,97,97,99,97,98,99,98,0
120,118,108,117,118,99,108,120,120,0
158,153,157,117,155,118,156,157,157,0
122,122,123,122,121,123,122,121,123,0
109,110,110,109,110,106,109,108,108,0
198,137,127,108,193,137,139,151,129,0
144,125,124,128,137,119,140,131,135,0
110,109,109,110,108,102,108,110,108,0
194,119,184,127,131,112,177,171,171,0
191,148,179,109,168,110,174,117,145,0
173,158,172,161,129,119,149,120,131,0
147,145,118,145,146,138,112,116,145,0
152,137,152,152,103,152,151,150,150,0
100,100,98,98,100,100,99,99,100,0
158,102,157,117,158,109,125,131,111,0
198,119,138,195,154,120,158,146,104,0
166,147,143,165,135,165,152,160,101,0
69,68,67,69,0,67,67,67,69,0
74,73,0,73,0,74,0,46,74,0
59,0,0,0,0,59,0,0,0,0
