0,1,2,3,4,5,6,7,8,9
372,328,330,237,282,337,336,299,264,0
202,200,202,201,202,200,200,200,200,0
371,293,245,339,369,369,237,216,370,0
300,298,299,300,264,287,233,300,299,0
231,230,229,213,230,230,230,213,230,0
347,347,228,211,277,237,347,300,345,0
311,311,311,311,310,311,218,221,311,0
345,228,212,257,224,341,225,305,314,0
304,286,302,224,296,302,223,304,304,0
365,331,303,237,324,276,220,296,327,0
262,260,260,260,221,261,261,261,248,0
251,223,205,251,250,251,231,251,250,0
358,214,312,357,348,316,236,242,288,0
240,240,239,240,238,240,212,239,238,0
284,283,283,283,283,232,263,260,207,0
330,213,329,263,273,328,329,313,304,0
268,266,239,261,267,268,239,211,268,0
370,291,360,368,273,352,318,366,255,0
248,247,248,248,247,247,246,246,207,0
264,264,264,264,237,227,264,262,244,0
272,272,241,251,272,270,270,270,270,0
240,240,239,238,238,240,240,240,239,0
293,241,291,268,214,291,293,269,221,0
243,242,234,242,202,242,207,242,243,0
